run	condition	replicate
20240331_YSJ-HY_0_A	H0_Y100	1
20240331_YSJ-HY_0_B	H0_Y100	2
20240404_YSJ-HY_0_C	H0_Y100	3
20240404_YSJ-HY_0_D	H0_Y100	4
20240331_YSJ-HY_2_A	H2_Y100	1
20240331_YSJ-HY_2_B	H2_Y100	2
20240404_YSJ-HY_2_C	H2_Y100	3
20240404_YSJ-HY_2_D	H2_Y100	4
20240331_YSJ-HY_5_A	H5_Y100	1
20240331_YSJ-HY_5_B	H5_Y100	2
20240404_YSJ-HY_5_C	H5_Y100	3
20240404_YSJ-HY_5_D	H5_Y100	4
20240331_YSJ-HY_7d5_A	H7d5_Y100	1
20240331_YSJ-HY_7d5_B	H7d5_Y100	2
20240404_YSJ-HY_7d5_C	H7d5_Y100	3
20240404_YSJ-HY_7d5_D	H7d5_Y100	4
20240331_YSJ-HY_30_A	H30_Y100	1
20240331_YSJ-HY_30_B	H30_Y100	2
20240404_YSJ-HY_30_C	H30_Y100	3
20240404_YSJ-HY_30_D	H30_Y100	4
